제목,지역,소분류,성별,내용
재가 어르신 밑반찬 배달 자원봉사자 모집,경기,평택시,공통,평택북부노인복지관 재가 어르신 밑반찬 배달 자원봉사자 모집* 봉사일시 : 2019년 3월 ~ 12월(넷째 주 화요일) 17:00~18:00* 봉사대상 : 평택 북부(송탄) 지역 거주 재가 어르신* 문     의 : 유나현 사회복지사(031-615-3913)* 신청 후 유선 연락은 필수입니다* 평택 북부(송탄) 지역 거주자 및 자차 소유자 우대 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[관악구] 차량지원하여 병원동행 도와주실 자원봉사자를 모집합니다.,서울,관악구,남,"[관악구 독거어르신 차량지원 병원동행 자원봉사자 모집]봉사장소 : 낙성대입구역 독거어르신 댁에서 출발하여 하루는 양지병원, 하루는 중앙대병원 동행 후 귀가도움봉사시간 : 한달에 2번 평일 중 2시부터 4시간정도, 매월초에 진료예약 스케줄이 나오며 시간 및 날짜 조정가능합니다.봉사내용 : 말벗, 병원동행, 차량지원하여 귀가도움차량이 없으시더라도 택시로 이동이 가능하오니 병원동행을 도와주실 봉사자분이 계신다면 누구든지 신청해주시기 바랍니다.온라인 신청 시 바로 확인이 어려우니 꼭 신청 후 02-889-3365 센터로 전화 부탁드리겠습니다.감사합니다^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
둔산부성 정서지원팀 자원봉사자를 모집합니다,대전,서구,공통,"둔산부성노인복지센터 인근 어르신댁에 직접 방문하여 말벗, 상담 등 정서지원어르신들이 힘으로 못하는 일(유리창 닦이, 가구 옮겨주기, 형광등 교체해 주기 등) 도와주기 자원봉사※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[관악구] 독거어르신 이미용 자원봉사자 모집,서울,관악구,공통,거동이 어려워 바깥 출입이 어려우신 어르신분들을 위해 이미용봉사를 해주실 봉사자분을 찾습니다.날짜와 시간은 봉사자분의 편의에 최대한 맞춰드리겠습니다.02-889-3365언제든 센터로 연락주셔서 지원해주시기 바랍니다. ^^ ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
2기 소망초등학교 다니기 봉사자 모집 ,서울,마포구,공통,"2018년 많은 분들의 성원속에 졸업식을 마친 1기를 끝으로 2기 소망초등학교 다니기가 운영됩니다. 새로운 첫발을 내딛는 2기 소망초등학교를 함께 이끌어 갈 봉사자를 모집하니, 많은 관심과 참여 부탁드립니다~  ○ 봉사기간: 2019년 3월 12일 ~ 12월 10일까지, 매주 1회 (화)○ 봉사시간: 주 2회 13시30분~ 16시30분까지 (*일일 최소 2시간) (준비시간 포함하여 3시간 정도 소요)○ 봉사장소: 마포구 소의초등학교 1층 소망교실○ 활동내용: 소망초등학교 한글교육 프로그램 및 문집 제작 보조○ 모집요건: 성별, 나이 무관, 정기적인 봉사자만 가능○ 봉사신청: 02-365-7775 담당: 이은혜 팀장PS. 사전 연락을 통해 봉사자로 선정이 되셔야 참여가 가능해요~ 봉사장소가 학교다 보니 보안이 철저한 점으로 출입에 제한이 있을 수 있으니, 이점 양해바라며 꼭 연락을 통해 신청 바랍니다^^ ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
밑반찬 조리봉사,대구,남구,여,재가 어르신들에게 나갈 밑반찬을 조리하는데에 도움을 주실 봉사자 선생님을 모집합니다!자세한 사항은 전화로 문의를 주시면 감사하겠습니다~!※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
재가복지서비스 일상생활(청소) 지원,대구,달서구,공통,"-재가대상자 가정을 방문하여 간단한 청소 봉사자를 모집합니다. (바닥 청소, 화장실 청소)- 시간은 30분~1시간 정도 소요됩니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
장애청소년 여가활동 멘토링 봉사자 모집,경기,수원시,남,"장애청소년 여가활동 멘토링 봉사자 모집1. 일 시 : 월 1회 이상, 장애청소년과 일정 논의2. 장 소 : 가정 및 외부3. 대 상 : 지적장애 3급 청소년4. 내 용 : 축구 및 자전거 및 다양한 여가활동5. 문 의 : 지역복지팀 031-548-5616※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"★ 중증장애인 학습지원(한글, 숫자, 스마트폰) 자원봉사자 모집 ★",부산,사하구,여,"안녕하세요. 사하두바퀴장애인자립생활센터입니다 ^^저희 기관에서는 중증장애인을 대상으로 한글 및 통신교육을 진행해주실 자원봉사자를 모집하고 있습니다.봉사 대상자의 집에 방문하셔서 한글, 숫자, 스마트폰 등 기초적이고 간단한 교육을 진행해주시면 됩니다.주로 하단(섬진2차아파트), 신평(한신아파트), 다대포(도개공아파트)에서 교육을 진행하게 되며, 진행 장소 또는 대상자 유형에 따라 선택하실 수 있습니다.자원봉사자분들의 많은 관심과 협조 바랍니다.장 소 : 중증장애인 자원봉사 대상자 자택(선택가능)  1) 하단 : 섬진2차아파트  2) 신평 : 한신아파트  3) 다대 : 도시개발공사 영구임대아파트일 시 : 매 주 토요일(진행 주기나 시간은 전화통화로 협의가능)내 용 : 한글, 숫자, 스마트폰 등 교육 대상자가 희망하는 기초교육대 상 : 중증장애인(여성 3명 / 남성 3명 / 개별 이용자)문 의 : 051)294-1282(자립생활팀 최영훈 팀장)인 원 : 10명※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
아현노인복지센터 경로식당 자원봉사자 모집,서울,마포구,공통,"안녕하세요 아현노인복지센터입니다.본 센터는 1995년 개관 이례로 20년 넘게 마포구 지역어르신들의 결식예방을 위해 경로식당을 운영하고 있습니다.요일별 숙련된 개인/단체 봉사팀이 존재하므로 봉사활동이 처음이신 분들도 쉽게 참여하실 수 있습니다.집단급식소 이므로 위생모/위생장갑/위생마스크/앞치마 착용이 필수입니다. (모두 제공함)센터 구조 및 수혜자 어르신의 특성상 1:1 배면배식이 아니기 때문에 건강상의 문제(ex.거동불편, 결핵 등)가 있으신 분은 양해의 말씀드립니다.기타 문의 사항은 본 센터 방문 및 유선상으로 문의 부탁드립니다.▣ 활동시간 : 10:00~14:00 *중식배식시간 11:30~12:30,▣ 활동일자 : 월~금 상시모집 (요일 선택가능, 협의 후 조정)▣ 활동내용 : 경로식당 조리 및 배식 보조, 설거지 및 청소▣ 모집인원 : 개인 혹은 단체 봉사활동에 대한 문의사항 및 신청은 본 센터 직접 방문이나 02-365-3677로 연락주시기 바랍니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
부곡복지관 밑반찬 배달 봉사자 모집,경기,안산시,공통,"안녕하세요 부곡종합복지관의 안주희 사회복지사입니다.본 복지관에서는 지역 내 어르신, 장애인 등 거동의 어려움, 경제적 어려움 등으로 결식이 예상되는 대상자에게 매주 밑반찬을 배달하고 있습니다.이에 밑반찬 배달을 함께 해 주실 봉사자님을 모집하고 있으니, 많은 관심과 신청 부탁드리겠습니다!!1. 활동명 : 밑반찬 배달 2. 활동대상 : 지역 내 어르신 등 3. 활동내용 : 밑반찬 배달 4. 모집대상 : 성인 이상 봉사자 5.모집 일정 : 평일 10시 ~ 12:00 6.모집 날짜 : 매주 화요일 6. 문의 : 안주희 사회복지사 (031-417-3677)*밑반찬 배달 활동의 특성상 자가 소유의 차량이 있으셔야 봉사활동이 가능합니다.^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
여성독거노인자조모임프로그램 자원봉사자 모집,대전,중구,공통,대전기독교종합사회복지관 여성 독거노인 자조모임 프로그램 자원봉사자 모집일시 : 매주수요일 오전 09:30-13:30(4시간)장소 : 대전기독교종합사회복지관(대전 중구 문화동 27번지)내용 : 독거노인 자조모임 프로그램 보조인원 : 1명* 정기적으로 진행되는 활동으로 책임감있게 활동하실 수 있는 자원봉사자를 모집합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
서대문장애인종합복지관-행복돌봄밥상,서울,서대문구,공통,"서대문장애인종합복지관에서는 지역사회 내 저소득 고령장애인의 건강한 인생설계를 위한 '행복돌봄밥상'을 진행합니다. 이에 지역 내 고령장애인의 건강한 삶 지원 및 사회적 돌봄 실현에 함께 할 전문돌봄지원단을 모집하고자 하오니 많은 참여 부탁드립니다.  가. 모집내용 : 전문돌봄지원단 모집 나. 활동내용 : 고령장애인 가정에 방문하여 교육내용 지원 및 반찬전달 다. 교      육 : 월 1회 손마사지, 안마 교육 진행(고령장애인 가정에서 배운내용 진행하고자 함.) 라. 활      동 : 주 1회 완성된 반찬 전달 및 말벗서비스 실시(1인당 고령장애인가정 2인방문/서대문구 내) 마. 혜      택 : 봉사시간 등록 및 월 2만원 활동비 지원* 문의사항 있을시 02.3140.3046(이수형 사회복지사) 문의바랍니다.** 신청하시고 전화연락 주시면 신속히 반영해 드리겠습니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
성동구정신건강복지센터 노인 말벗 봉사,서울,성동구,공통,안녕하세요. 성동구정신건강복지센터에서 우울증 노인 말벗 자원봉사자를 모집합니다. - 장소 : 금호동1가(회원 가정방문) - 방문대상 : 우울증 노인 센터 등록회원 - 진행업무 : 말벗봉사(2인 1조 방문) - 봉사기간 : 2019년 3월 ~ 5월 주 1회 금요일 13:00~16:00 (*정기 방문상담/주말 제외) 자세한 봉사 관련 문의사항은 02-2298-1080 전화 문의 바랍니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
노인돌봄서비스-반찬 배달,경남,거창군,공통,"1. 봉사일자 : 2019-02-21~2019-12-312. 봉사장소 : 거창군 관내 1읍, 11개면3. 봉사내용 : 노인돌봄서비스-반찬 배달※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
가사지원 봉사자 모집,경기,오산시,공통,"<오산장애인종합복지관  봉사자 모집>오산시 금암동에 위치한 오산장애인종합복지관입니다.복지관에서는 장애인가정에게 주거환경개선 가사지원(청소,정리정돈, 세탁등)을 진행하고 있습니다.장애인가정에 가사지원 도움을 줄 봉사자를 모집하니 많은 관심부탁드립니다.* 봉사기간: 2019년 3월-12월(격주/주1회)* 봉사시간: 10시~17시(주 1-2시간) / 시간 조율가능* 봉사내용: 장애가정 가사지원* 봉사장소: 오산장애인종합복지관, 장애인가정* 봉사자연령: 성인 남·여 누구나* 2인 1조로 구성되며 장애가정 매칭 후 진행 (2명의 봉사자가 장애인 가정에 방문하여 활동 진행)* 기타사항: 지속적 봉사활동 참여자를 모집합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
이미용봉사,경기,동두천시,공통,안녕하세요.저희는 어르신들과 하루하루를 즐겁게 지내는 노인주간보호센터입니다.우리 어르신들 미이용관리를 해 주실 마음이 따스한 봉사선생님을 모십니다.월 1회 정기방문을 통해 어르신들을 더욱 예쁘고 멋지게 빛내 주실 선생님을 기다리겠습니다.부담없이 연락주세요^^감사합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
경산시정신건강복지센터 [2019 마음건강백세] 맘 보듬이 자원봉사자를 모집합니다.,경북,경산시,공통,"경산시정신건강복지센터에서 '2019 마음건강백세 사업' 맘 보듬이 자원봉사자를 모집합니다.지원방법 : 경산시정신건강복지센터  홈페이지(http://www.gsmind.or.kr/) 하단 맘 보듬이(자원봉사자) 배너 클릭 → 신청서 작성 후 gsmhc@hanmail.net 으로 발송하시면 됩니다. ( 개인정보 취급 동의 안내는 '동의함'에 꼭 체크해주세요. 직업란에 학생이시면 전공과도 함께 적어주세요.)봉사내용 :  - 경산 관내 65세 이상 노인 척도 검사 시행 보조 -               검사지에 관한 내용 교육받은 뒤, 상담 장소(마을회관)으로 함께 이동하여 65세 이상 노인 척도 검사 실시함.               경산시정신건강복지센터 담당 직원과 함께 차량으로 이동할 예정임.일      정 : 3월에서 6월 중 평일에 실시 할 계획입니다. 일정 조율 가능합니다.혜      택 : VMS 봉사활동 실적 인정.              자원봉사교육 및 슈퍼비전 제공.？ 해당 자원봉사는 사업 지침 상 사회복지, 심리학, 간호학 전공자만 가능합니다.？ 봉사활동에 대해 궁금한 점이 있다면 053)816-7190으로 연락주세요. 많은 신청 바랍니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
이미용자원봉사자 모집,대전,대덕구,공통,함께해주실 이미용 자원봉사자분을 모집합니다~^^중리종합사회복지관에서는 매 월 첫째 주 수요일마다 지역주민을 대상으로 이미용서비스가 진행되고 있습니다.평소 함께 하였던 봉사자분의 개인사정으로 봉사하실 분이 필요한 상황입니다.이에 다음과 같이 봉사자분을 모집하고 있사오니 많은 관심과 참여 부탁드려요!- 일시: 매 월 첫째 주 수요일 9시~12시- 장소: 중리종합사회복지관 3층 강당- 내용: 이미용봉사- 필요인원: 2명 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
어르신 한글교육 자원봉사자를 모집합니다.,부산,해운대구,공통,※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
북부종합사회복지관 도시락배달 자원봉사자를 모집합니다. ,서울,노원구,공통,북부종합사회복지관 도시락배달 자원봉사자 모집합니다^^지역 내 저소득 취약계층을 위해 따뜻한 도시락을 매일 정성스럽게 배달해주실 자원봉사자 여러분들을 모십니다.- 봉사 활동 요일 및 시간평일 : 월 ~ 금 매주 1회 원하는 요일 오후 3시 ~ 오후 5시 사이 복지관으로 방문하여 도시락 수령 후 활동 진행토요일 : 매주 토요일 오전 10시 ~ 오후 11시 50분 사이 복지관으로 방문하여 도시락 수령 후 활동 진행- 봉사 활동 방법1) 복지관에 들려서 도시락을 수령한다.2) 해당 어르신 가정으로 방문하여 도시락을 배달한다.3) 도시락 배달 후 빈도시락을 수거한다.4) 빈도시락을 복지관으로 가지고 돌아온다.5) 자원봉사자 일지를 작성 후 귀가한다. - 문의 : 북부종합사회복지관 복지서비스팀 02-934-7711~5여러분들의 많은 참여 부탁드립니다^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
재가노인식사배달,전남,보성군,공통,"매주 화, 금요일 보성관내 65세 독거노인 식사배달2인 1개조 (차량운전, 나눔봉사) 구성되어 대상자 가가호호 식사배달보성읍, 노동미력, 북부4면(겸백,율어,복내,문덕), 조성, 득량, 웅치, 회천 7개조 편성각 조별 10~15가구 내외07:00~ 식사배달 시작※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
2019년 준사례관리자 『또바기』 신규 자원봉사자 모집,경기,군포시,공통,"2019년 준사례관리자 『또바기』 신규 자원봉사자 모집 1. 모집개요- 모집기간 : 2019. 03. 15(금)까지 모집- 모집인원 : 총 5명2. 신청방법- 신청자격 : 사회복지학과로서 사회복지 현장실습 완료한 대학생- 복지관 홈페이지 공지사항에(하단) “또바기 활동신청서” 다운 (www.gayawel.or.kr)- 신청서 작성 후 e-mail로 제출 (E-mail: gayawel@daum.net)※ 메일 제목 예시 : 준사례관리자 또바기 활동신청서_홍길동3. 활동 내용- 당사자 가정방문 및 안부확인- 당사자 정서지원 활동계획 및 실행- 재사정 상담 및 분기별 통합사례회의4. 활동 후 장점- 사례관리 업무를 통해 사례관리 진행과정을 직접 경험할 수 있는 기회- 사례관리 기록법을 학습할 수 있는 기회- 20회 이상 활동 및 기타 일정 참여 시 수료증 부여- 소정의 준사례관리자 활동？교통비 지급5. 문의사항 031-395-4894(사례관리팀 한청규 복지사)""마을 안에서 사례관리하기""지역사회 속에서, 당사자와 꾸준히 공감하며, 강점을 발견하고 함께 발전할 수 있는 기회!서로 가치 있는 추억을 나누고, 훈훈한 감동이 있는 이야기를 만들고 싶다면 꼭 신청해주세요!※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
목욕봉사,부산,연제구,여,"부산도우누리 주간보호센터에서 매주 수요일 어르신들 목욕시간에 함께 도와주실 봉사자님을 모집합니다.시간은 오후 1시~4시, 12명 내외로 목욕 진행하며 어르신들의 옷 탈의와 목욕 보조, 목욕 끝나신 분들 케어를 해 주시면 됩니다.여자어르신들이라 봉사자님도 여성분으로 모집하고자 합니다.많은 지원 부탁드립니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
2019 거동불편노인 식사배달봉사,대전,서구,공통,"2019년 '거동불편노인 식사배달봉사' 봉사자를 모집합니다. (상시)1. 일     시 : 월~금(공휴일 제외), 9:30~11:30 / 원하시는 요일에 봉사활동 가능합니다.2. 장     소 : 월평동 월평주공아파트 1단지 내 아파트 월드비전 한밭종합사회복지관3. 내     용 : 거동불편어르신들에게 도시락 배달, 1일 4명까지 자원봉사 신청가능4. 신청방법 : 전화신청  (T: 042-484-5325)봉사？동 가능하신 분은 많은 연락 및 참여 부탁드립니다~^^* 주소: 대전광역시 서구 월평북로 11 (1단지내) 한밭종합사회복지관 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
찾아가는 공부방(관저동),대전,서구,공통,북한이탈주민 아동청소년 가정방문 멘토링(학습지원)을 도와주실 자원봉사자 선생님을 모집합니다.한글학습지원이며  중국어 가능자궁금하신 사항은 담당자에게 문의 바랍니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
찾아가는 공부방(유성),대전,유성구,공통,북한이탈주민 아동청소년 가정방문 멘토링(학습지원)을 도와주실 자원봉사자 선생님을 모집합니다.반석동 : 중(남)2명(중국어 가능자)궁금한 사항은 담당자에게 문의 바랍니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
찾아가는 공부방(판암동),대전,동구,여,북한이탈주민 아동청소년 가정방문 멘토링(학습지원)을 도와주실 선생님을 모집합니다.궁금한 사항은 담당자에게 문의 바랍니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
컴퓨터교육 봉사자 '정보화요원단' 모집 ,충북,청주시,공통,"<정보화교육 봉사자 '정보화요원단' 모집>■활동내용 : 컴퓨터교육을 희망하는 장애가정(아동, 노인 등)에 컴퓨터기초, 한글문서, 인터넷 등 기본적인 컴퓨터 활용 교육 실시                 (컴퓨터관련자격증 무관, 기초실력 있으면 누구나 가능)■봉사장소 : 컴퓨터 교육을 희망하는 장애가정에 방문하여 진행(가경동, 모충동, 사천동, 수곡동, 죽림동 등)■봉사일정 : 3월 ~ 6월 / 대상자 교육 요일 및 시간 조율(주말or평일 모두 가능)■봉사시간 : 주1회 2시간 ※교통비 지급 ■문      의 : 충북장애인재활협회 담당 윤진아 043-252-9720※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
이동목욕 자원봉사자 모집합니다.,경남,진주시,공통,복지관 내 이동목욕차량을 이용하여목욕서비스를 필요로 하는 어르신 댁을 찾아가 2인 1조로 목욕을 시켜 드리는 봉사활동입니다.활동일시는 매주 화 / 목요일 오후 2시 부터 5시까 입니다.많은 관심과 참여를 부탁드립니다! ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
한가족 만들기 가족 봉사단 활동,서울,관악구,공통,"관악노인종합복지관에서 한가족 만들기 가족단위 봉사자를 모집합니다.주 활동은 1세대 독거 어르신과 한가족을 이루어 월 1회(매월 둘째 주 토요일) 프로그램을 진행합니다.월별 세부 내용으로는 어르신과 함께 복지관을 방문하여만들기 프로그램과 어버이날 및 한가위 행사 등으로 구성되어 있습니다. 또한 월 1회 복지관 프로그램 참석 외에 개별적으로 어르신 가정방문하여가정봉사(찾아가는 생신잔치 등)도 진행해주시면 됩니다.독거 어르신의 든든한 가족이 되어 행복한 노후를 보내실 수 있도록함께 해주실 가족 봉사자를 모집하오니 많은 관심과 지원 부탁드립니다.* 봉사활동내용 : 1세대 어르신 한가족 만들기 활동(1·2·3세대 통합 프로그램)* 모집기간 : 2019-02-11~2019-03-03* 봉사일시 : 연중 수시(월 1회 모임)* 신청방법 : vms 신청 또는 전화* 활동 시 혜택 : 봉사시간 부여(가정봉사시간도 인정)* 문의 : 관악노인종합복지관 재가복지사업 안다해, 양윤종 사회복지사(02-888-6145)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
중앙동복지회관 어르신 수학교실 정기봉사자 모집,경기,성남시,공통,"중앙동복지회관에서는 어르신들을 대상으로 수학교실을 진행하고 있습니다. -프로그램명 : 수학교실-일 시 : 2019년 2월~12월 (매주 화요일 10:00~12:00, 주1회 2시간)-장 소 : 성남중앙동복지회관 3층 프로그램실-모집인원 : 2명 이상-내 용 : 어르신 수업지도 및 프로그램 활동보조 등-문 의 : 이상영 사회복지사 (031-747-9544) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
밑반찬 전달,경기,용인시,공통,"저희 복지관에서는 재가장애인 어르신들을 대상으로 밑반찬 전달에 도움을 주실 자원봉사자 선생님을 모집합니다.활동일시 : 매월 2회 / 수요일, 금요일 16:00 ~ 18:00 (시간되시는 날 아무때나 가능)활동내용 : 재가장애인 밑반찬 전달※ 개인차량 사용이 가능하신 분만 활동 가능관심자의 많은 지원 바랍니다^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
밑반찬 배달 자원봉사,대구,수성구,공통,"** 우리 청곡종합사회복지관에서는 시지 고산지역의 저소득가정분들의 건강한 식생활을 위해 사랑의 밑반찬 배달을 실시하고 있습니다.지역의 어려운 이웃들에게 따뜻한 밑반찬을 전달해주실 사랑의 배달자원봉사자를 모집합니다.* 봉사일시 : 매월 격주(짝수팀, 홀수팀) 목요일 11:30 - 12:30* 장소 : 대구 수성구 시지일대* 내용 : 복지관에서 밑반찬도시락 수령 후 → 저소득가정에 배달 → 빈 밑반찬도시락 수거 후 복지관 전달* 모집인원 : 3명* 참가자격 : 자가차량 소유자, 운전가능한 자* 기간 : 2019. 2. ~ 장기※ 자가 차량으로 밑반찬 배달하셔야 하니, 이 점 참고부탁드립니다. * 관심 있으신 분은 부담 없이 연락주세요 신청 후, 꼭 복지관으로 확인 전화주시시면 감사드리겠습니다.  (☎053)793-9411 담당자 : 박지훈)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
본오종합사회복지관 밑반찬 배달서비스 봉사자 모집,경기,안산시,공통,"밑반찬 배달서비스 봉사자를 모집합니다!1. 활동기간 : 매주 화요일, 금요일 11시~12시 [주1회, 주2회 가능]2. 활동내용 : 신체결함 및 경제적 부담 등으로 기본적인 식생활이 어려운 저소득 어르신들을 대상으로 주 2회 밑반찬 배달서비스 제공3. 활동장소 : 본오동 및 사동 밑반찬 대상자 가정4. 문의 : 070-4860-9705※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
기초생활수급자 가정 정리정돈방법 ,서울,중구,여,6세와 7세 아동을 둔 기초생활수급자 4인 가족의 집안을 정리하는 법을 꼼꼼하게 현장지도 해주실 분을 찾습니다.주1회 2-3시간 총 6-7회 정도 소요될 것 같습니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
이미용봉사자를 구합니다.,대구,달성군,공통,이미용봉사자를 구합니다.한달에 한번  봉사 해주심 됩니다.간절한 도움 부탁합니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
토요초등마중물학교,대구,중구,공통,"토요초등마중물학교: 다양한 사회적응활동을 통하여 학령기 장애아동들이 사회생활에 적응 할 수 있는 능력을 향상시키고, 짝꿍 봉사자와의 1:1 활동을 통하여 일상생활 예절능력을 습득하고, 또래친구와의 관계 형성을 통해 대인관계 기술 향상을 도모하며 학교생활적응력강화에 도움을 주고자 합니다.1. 일시 : 2019년 3월 ~ 12월 매주 토요일 09시30분~15시30분2. 대상 : 장애아동(초등학교 4~6학년)3. 봉사시간 :  09시30분~15시30분(6시간)4. 사업내용 : 대구근교 나들이(짝꿍아동과 짝꿍봉사자 1:1활동)5. 점심식사제공6. 선착순모집*짝꿍아동과 즐거운 추억을 함께 쌓을 봉사자 분들을 환영합니다 ^^기타 상세 문의는 담당자(한세영 010-3513-808)에게 연락주세요 ^^(카톡, 문자, 전화 무관) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[부산남부아동보호전문기관]멘토링 봉사자 모집,부산,동구,남,"학대피해아동 학습(영어 기본기) 및 정서지원 멘토링 봉사자 구합니다.매주 1회 진행 예정이며, 봉사자와 아동의 하교 시간과 맞춰 조율하여 진행합니다.학업 또는 기타 사유로 중도에 중지하는 것은 되지 않고, 학대피해아동의 특성을 조금이나마 아시는 분이었으면 좋겠습니다.봉사자 남성 한 분을 구합니다. 활동지역은 <동구>입니다.봉사혜택 : 활동비 20,000원과 봉사시간 제공문의 : 부산남부아동보호전문기관 김정원 상담원 (010-7582-0383) 업무중이라 먼저 문자로 연락 남겨주세요.많은 지원 부탁드립니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
이미용 봉사자를 모집합니다.,서울,구로구,공통,서울시 구로구 개봉동에 위치한 미소들 주야간보호센터입니다.어르신들께 정기적으로(월 1회) 이미용 봉사하실 분을 모집합니다.실력은 출중하지 않아도~ ^^어르신들을 위하는 마음과 함께하는 마음이면 충분합니다~※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
조손가정 어르신 정서지원프로그램 '청춘 너나들이',인천,부평구,여,"조손가정 사회적지지망형성을 위한 조부모 매칭 정서지원프로그램<청춘 너나들이> 참여 성인(주부여성) 모집 모집기간 : ~ 2019년 3월 21일(목)모집대상 : 주 1회 지속적인 봉사가 가능한 지역(부평구 삼산동 거주) 주민 10명활동기간 : 2019년 3월 ~ 11월활동내용 : 지역내 조손가정 조부모와 매칭해 안부전화 및 가정방문을 통한 정서지원 서비스 진행, 전체 활동(나들이, 문화체험 등)활동혜택 : 봉사활동 시간 지급활동장소 : 삼산종합사회복지관(부평구 평천로 447, 삼산LH주공아파트 1단지 107동)지원방법 : 복지관 내방 및 전화(032-529-8607)문      의 : 삼산종합사회복지관 지역조직팀 곽희종 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
장애인가정 활동보조 봉사,서울,마포구,공통,"장애인 어르신 가정에 방문하여 활동보조(간단한 청소 및 집안일, 병원동행, 말벗 등)를 지원해주실 봉사자분을 모집합니다.일정은 어르신과 협의하에 진행될 예정이며, 월2회이상으로 진행해주시면 좋을 것 같습니다.어르신이 건강이 좋지 않아 손발을 사용하시기 어려워 간단한 일상생활업무를 보조해주시면 됩니다.신청 후 010-8581-6129로 문자 남겨주시면 연락드리겠습니다. 감사합니다.  ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
